,trip_duration,trip_distance_km,average_speed_kmh,route_efficiency_ratio,passenger_count,anomaly_score,is_anomaly
1257164,85102,28.08451311892809,1.188036088789231,0.9124828924629931,5,0.9999974992530583,True
1136863,86377,19.825798728516432,0.8262949097868548,0.7485771382120737,6,0.9961541713017774,True
900034,83263,20.172133111234633,0.8721722637959799,0.7168895939844885,6,0.9924858766731041,True
651697,85347,22.733149415153697,0.9589011669367794,0.7081884378396733,5,0.9864120163449241,True
59336,83926,22.725114515328972,0.9747922247597204,0.7082141029076978,5,0.9864120163449241,True
1203145,79777,9.705908942441292,0.4379867905886239,0.9681185667229454,6,0.9849347128920795,True
553656,82826,22.53952895677411,0.9796718934197812,0.707619981916723,5,0.9825962356824656,True
137635,3314,31.862102530050038,34.611819284302996,0.8680197157238938,6,0.9797166778877909,True
419405,2344,29.245161933353426,44.91577771334144,0.934435492913051,6,0.9791260854309661,True
281233,3799,38.73120888767184,36.702382731144674,0.8347863894971032,6,0.9788630705182948,True
1325674,85852,12.150353663536125,0.5094962632056335,0.997597797914493,5,0.9778582257720663,True
16384,85934,20.851930757493466,0.8735419127118077,0.70765206056369,4,0.977294156249311,True
952694,1482,27.8575522297605,67.67016735974211,0.9682869145644395,6,0.9749112094322905,True
46526,85545,18.662626759767445,0.7853814522784827,0.7082737786448126,4,0.9697811961566667,True
177973,83034,20.293926701707846,0.8798580837506111,0.7138932876347801,5,0.9643318002212624,True
1160961,2037,32.21714907150808,56.9375241322676,0.8826578376680196,6,0.9637073507289982,True
108602,4263,37.22826592472845,31.438366720389965,0.8405386731223846,6,0.9632960519305407,True
225422,84649,21.12570934864625,0.8984459787490283,0.7164140447760683,5,0.9567974294970482,True
1071711,2940,27.8099580288996,34.05300983130564,0.9001521961877214,6,0.9560256510363037,True
1242697,79657,20.44453254066825,0.9239654662666896,0.7075381959254935,3,0.9558777222448388,True
